"CPSID","COUNTY","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FAMINC","female","hispanic","black","kids","elderly","education","married","femhispanic"
"20211102006300","0",5549.9927,2,235,1,1,1,99,99,0,470,1,1,0,0,0,0,2,0,0
"20211102006300","0",5549.9927,2,235,1,1,1,99,99,0,470,1,1,0,0,0,0,2,0,0
"20211102007000","0",4470.9203,2,165,1,1,1,99,99,0,330,1,1,0,0,0,0,1,2,0
"20211102007000","0",4470.9203,2,165,1,1,1,99,99,0,330,1,1,0,0,0,0,1,2,0
"20211102012600","0",4174.4633,1,100,1,1,1,99,99,0,100,1,1,0,0,0,1,1,0,0
"20211102020900","0",7998.2774,4,249.75,99,99,99,99,99,99,999,99,2,0,4,0,0,1,2,0
"20211102020900","0",7998.2774,4,249.75,99,99,99,99,99,99,999,99,2,0,4,0,0,1,2,0
"20211102020900","0",7998.2774,4,249.75,99,99,99,99,99,99,999,99,2,0,4,0,0,1,2,0
"20211102020900","0",7998.2774,4,249.75,99,99,99,99,99,99,999,99,2,0,4,0,0,1,2,0
"20211102021000","0",4172.0346,2,245,1,1,1,99,99,0,490,1,2,0,0,0,0,2,0,0
"20211102021000","0",4172.0346,2,245,1,1,1,99,99,0,490,1,2,0,0,0,0,2,0,0
"20211102021900","0",4520.5177,2,45,1,1,1,1,1,0,90,1,0,0,0,0,1,1,0,0
"20211102021900","0",4520.5177,2,45,1,1,1,1,1,0,90,1,0,0,0,0,1,1,0,0
"20211102022000","0",4737.4633,3,70,1,1,1,99,99,0,210,1,2,0,0,1,0,2,2,0
"20211102022000","0",4737.4633,3,70,1,1,1,99,99,0,210,1,2,0,0,1,0,2,2,0
"20211102022000","0",4737.4633,3,70,1,1,1,99,99,0,210,1,2,0,0,1,0,2,2,0
"20211102029000","0",4004.3176,2,135,1,2,2,2,1,1,270,1,2,2,0,0,1,1,0,0
"20211102029000","0",4004.3176,2,135,1,2,2,2,1,1,270,1,2,2,0,0,1,1,0,0
"20211102030200","0",5415.8393,1,250,1,1,2,1,2,1,250,1,1,0,0,0,0,1,0,0
"20211102031900","0",5028.3516,1,130,3,3,3,2,3,8,130,3,0,0,0,0,0,0,0,0
"20211102032100","0",4915.9436,2,200,1,1,1,99,99,0,400,1,0,0,0,0,0,2,2,0
"20211102032100","0",4915.9436,2,200,1,1,1,99,99,0,400,1,0,0,0,0,0,2,2,0
"20211102032300","0",5764.361,1,999,99,99,99,99,99,99,999,99,1,0,1,0,1,0,0,0
"20211102033600","0",4174.4633,5,0,1,1,1,1,1,0,0,1,3,0,0,0,1,1,2,0
"20211102033600","0",4174.4633,5,0,1,1,1,1,1,0,0,1,3,0,0,0,1,1,2,0
"20211102033600","0",4174.4633,5,0,1,1,1,1,1,0,0,1,3,0,0,0,1,1,2,0
"20211102033600","0",4174.4633,5,0,1,1,1,1,1,0,0,1,3,0,0,0,1,1,2,0
"20211102033600","0",4174.4633,5,0,1,1,1,1,1,0,0,1,3,0,0,0,1,1,2,0
"20211102036200","0",4681.4646,3,33.3333333333333,2,3,2,2,2,3,100,2,3,0,0,0,0,0,2,0
"20211102036200","0",4681.4646,3,33.3333333333333,2,3,2,2,2,3,100,2,3,0,0,0,0,0,2,0
"20211102036200","0",4681.4646,3,33.3333333333333,2,3,2,2,2,3,100,2,3,0,0,0,0,0,2,0
"20211102036900","0",4178.8742,5,26,1,1,1,2,1,1,130,1,3,5,0,2,0,0,2,0
"20211102036900","0",4178.8742,5,26,1,1,1,2,1,1,130,1,3,5,0,2,0,0,2,0
"20211102036900","0",4178.8742,5,26,1,1,1,2,1,1,130,1,3,5,0,2,0,0,2,0
"20211102036900","0",4178.8742,5,26,1,1,1,2,1,1,130,1,3,5,0,2,0,0,2,0
"20211102036900","0",4178.8742,5,26,1,1,1,2,1,1,130,1,3,5,0,2,0,0,2,0
"20211102037000","0",4915.9436,1,210,1,1,1,99,99,0,210,1,0,0,0,0,0,0,0,0
"20211102037100","0",7998.2774,2,50,1,1,1,99,99,0,100,1,1,0,2,0,2,1,2,0
"20211102037100","0",7998.2774,2,50,1,1,1,99,99,0,100,1,1,0,2,0,2,1,2,0
"20211102037700","0",4932.0316,5,110,1,1,1,99,99,0,550,1,3,0,0,3,0,2,2,0
"20211102037700","0",4932.0316,5,110,1,1,1,99,99,0,550,1,3,0,0,3,0,2,2,0
"20211102037700","0",4932.0316,5,110,1,1,1,99,99,0,550,1,3,0,0,3,0,2,2,0
"20211102037700","0",4932.0316,5,110,1,1,1,99,99,0,550,1,3,0,0,3,0,2,2,0
"20211102037700","0",4932.0316,5,110,1,1,1,99,99,0,550,1,3,0,0,3,0,2,2,0
"20211102039500","0",3478.9399,2,20,1,1,1,99,99,0,40,1,1,0,0,0,2,0,2,0
"20211102039500","0",3478.9399,2,20,1,1,1,99,99,0,40,1,1,0,0,0,2,0,2,0
"20211102039600","0",4276.6062,4,50,1,1,1,99,99,0,200,1,2,4,0,2,0,0,2,0
"20211102039600","0",4276.6062,4,50,1,1,1,99,99,0,200,1,2,4,0,2,0,0,2,0
"20211102039600","0",4276.6062,4,50,1,1,1,99,99,0,200,1,2,4,0,2,0,0,2,0
"20211102039600","0",4276.6062,4,50,1,1,1,99,99,0,200,1,2,4,0,2,0,0,2,0
"20211102040300","0",5539.9745,4,62.5,1,1,1,99,99,0,250,1,2,4,0,2,0,0,0,0
"20211102040300","0",5539.9745,4,62.5,1,1,1,99,99,0,250,1,2,4,0,2,0,0,0,0
"20211102040300","0",5539.9745,4,62.5,1,1,1,99,99,0,250,1,2,4,0,2,0,0,0,0
"20211102040300","0",5539.9745,4,62.5,1,1,1,99,99,0,250,1,2,4,0,2,0,0,0,0
"20211102040800","0",4121.262,1,999,99,99,99,99,99,99,999,99,1,0,0,0,1,0,0,0
"20211102045100","0",4500.5382,5,96,1,1,1,99,99,0,480,1,2,1,0,3,0,2,2,0
"20211102045100","0",4500.5382,5,96,1,1,1,99,99,0,480,1,2,1,0,3,0,2,2,0
"20211102045100","0",4500.5382,5,96,1,1,1,99,99,0,480,1,2,1,0,3,0,2,2,0
"20211102045100","0",4500.5382,5,96,1,1,1,99,99,0,480,1,2,1,0,3,0,2,2,0
"20211102045100","0",4500.5382,5,96,1,1,1,99,99,0,480,1,2,1,0,3,0,2,2,0
"20211102048300","0",3948.1363,5,48,1,1,1,99,99,0,240,1,2,0,0,3,0,2,2,0
"20211102048300","0",3948.1363,5,48,1,1,1,99,99,0,240,1,2,0,0,3,0,2,2,0
"20211102048300","0",3948.1363,5,48,1,1,1,99,99,0,240,1,2,0,0,3,0,2,2,0
"20211102048300","0",3948.1363,5,48,1,1,1,99,99,0,240,1,2,0,0,3,0,2,2,0
"20211102048300","0",3948.1363,5,48,1,1,1,99,99,0,240,1,2,0,0,3,0,2,2,0
"20211102049400","17179",3958.6549,1,50,3,3,3,1,2,7,50,3,0,0,0,0,0,0,0,0
"20211102049900","0",3418.2769,2,85,1,1,1,99,99,0,170,1,0,0,0,0,1,2,0,0
"20211102049900","0",3418.2769,2,85,1,1,1,99,99,0,170,1,0,0,0,0,1,2,0,0
"20211102050700","0",3736.0828,1,999,99,99,99,99,99,99,999,99,1,0,0,0,0,0,0,0
"20211102053500","0",4201.082,3,13.3333333333333,1,1,1,99,99,0,40,1,2,0,0,0,0,1,2,0
"20211102053500","0",4201.082,3,13.3333333333333,1,1,1,99,99,0,40,1,2,0,0,0,0,1,2,0
"20211102053500","0",4201.082,3,13.3333333333333,1,1,1,99,99,0,40,1,2,0,0,0,0,1,2,0
"20211102054500","17097",3337.1428,3,333,99,99,99,99,99,99,999,99,1,3,0,1,0,0,2,0
"20211102054500","17097",3337.1428,3,333,99,99,99,99,99,99,999,99,1,3,0,1,0,0,2,0
"20211102054500","17097",3337.1428,3,333,99,99,99,99,99,99,999,99,1,3,0,1,0,0,2,0
"20211102056500","0",4110.2868,4,55,1,1,1,99,99,0,220,1,1,0,0,2,0,2,2,0
"20211102056500","0",4110.2868,4,55,1,1,1,99,99,0,220,1,1,0,0,2,0,2,2,0
"20211102056500","0",4110.2868,4,55,1,1,1,99,99,0,220,1,1,0,0,2,0,2,2,0
"20211102056500","0",4110.2868,4,55,1,1,1,99,99,0,220,1,1,0,0,2,0,2,2,0
"20211102056600","0",4097.1851,3,0,1,1,1,99,99,0,0,1,1,0,0,1,0,2,2,0
"20211102056600","0",4097.1851,3,0,1,1,1,99,99,0,0,1,1,0,0,1,0,2,2,0
"20211102056600","0",4097.1851,3,0,1,1,1,99,99,0,0,1,1,0,0,1,0,2,2,0
"20211102058100","0",7463.2361,5,58,1,1,1,99,99,0,290,1,2,0,5,1,0,1,2,0
"20211102058100","0",7463.2361,5,58,1,1,1,99,99,0,290,1,2,0,5,1,0,1,2,0
"20211102058100","0",7463.2361,5,58,1,1,1,99,99,0,290,1,2,0,5,1,0,1,2,0
"20211102058100","0",7463.2361,5,58,1,1,1,99,99,0,290,1,2,0,5,1,0,1,2,0
"20211102058100","0",7463.2361,5,58,1,1,1,99,99,0,290,1,2,0,5,1,0,1,2,0
"20211102059300","0",3796.0249,4,57.5,3,3,3,2,2,6,230,3,1,0,0,2,0,1,2,0
"20211102059300","0",3796.0249,4,57.5,3,3,3,2,2,6,230,3,1,0,0,2,0,1,2,0
"20211102059300","0",3796.0249,4,57.5,3,3,3,2,2,6,230,3,1,0,0,2,0,1,2,0
